============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     17          32129           2560            416  9b6b67663caff197  22bb6da8a0416390
     18            119             14              2  9b6b67663caff197  6862616b2eb03d7a
     19             89              4              1  9b6b67663caff197  754f937a72a32e15
     20            225              9              3  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          16341           6299            139  9b6b67663caff197  ea58e854dec6c4c0
     23            859             27             13  9b6b67663caff197  f11ba1ac3c6de015
     24    1.21982e+08       43253760         675041  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560              4  9b6b67663caff197  fa8ea32b53831861
     26            196              8              2  a56d04c363e13700  098c78d9fa04e08a
     27          25033          10172            121  a56d04c363e13700  1776424a4a9e8336
     28          10897           4805              5  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30             81              4              1  a56d04c363e13700  3b6df67f33774bd2
     31           2813           1568             35  a56d04c363e13700  60c4d4d4e0412413
     32          24861           6136            240  a56d04c363e13700  6689142888329f8c
     33          10656           5147             88  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            236             15              3  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200              0  abc675ef47e07b7f  174779975e86f455
     37            745             27             13  abc675ef47e07b7f  1992fcee9a199399
     38            137              7              2  abc675ef47e07b7f  87e7f12c017876ea
     39          13380           6134             55  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              1  abc675ef47e07b7f  adc0e7a2a634810f
     41             66              4              1  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560              0  abc675ef47e07b7f  be993a2c079f97e1
     43            215              9              2  abc675ef47e07b7f  c2cb14c20f7a22f1
     44    1.88038e+08       34078720        1316173  abc675ef47e07b7f  e32e62722cfb2564
     45          47654           3840            726  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 5
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.50739e+07       24055511         563443  0000000000000000  0000000000000000
      5             51              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          22405           9084             69  26eabfaf49b46807  133f55f2648fecce
      7          37827          12844            391  26eabfaf49b46807  53360b0d29e60035
      8          22762           5376            102  26eabfaf49b46807  82574bb65160613d
      9             77              8              0  26eabfaf49b46807  8e5e435081afd6fb
     10            188             12              0  26eabfaf49b46807  a5b9dd26ead2f771
     11            225             18              3  26eabfaf49b46807  dc68f269af97a825
     14          46115           3200            636  9b6b67663caff197  01bcfdb46338199f
     15          46535           2560            657  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200            107  9b6b67663caff197  1b21b53707c358f6
     17          41885           2560            616  9b6b67663caff197  22bb6da8a0416390
     18            119             14              1  9b6b67663caff197  6862616b2eb03d7a
     19             55              4              0  9b6b67663caff197  754f937a72a32e15
     20            278              9              3  9b6b67663caff197  c95c57b49558ef66
     21              8              5              1  9b6b67663caff197  e38d9ac4f4fc8417
     22          15969           6299            135  9b6b67663caff197  ea58e854dec6c4c0
     23            826             27             15  9b6b67663caff197  f11ba1ac3c6de015
     24    1.22028e+08       43253760        1631467  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             99  9b6b67663caff197  fa8ea32b53831861
     26            225              8              5  a56d04c363e13700  098c78d9fa04e08a
     27          30292          10655            271  a56d04c363e13700  1776424a4a9e8336
     28          11151           5086             32  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30             42              4              0  a56d04c363e13700  3b6df67f33774bd2
     31           2727           1568             23  a56d04c363e13700  60c4d4d4e0412413
     32          20658           6136            379  a56d04c363e13700  6689142888329f8c
     33          10699           5147            165  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            362             15              4  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             43  abc675ef47e07b7f  174779975e86f455
     37            738             27              4  abc675ef47e07b7f  1992fcee9a199399
     38            113              7              0  abc675ef47e07b7f  87e7f12c017876ea
     39          11305           6134             53  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              1  abc675ef47e07b7f  adc0e7a2a634810f
     41             55              4              0  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             41  abc675ef47e07b7f  be993a2c079f97e1
     43            124              9              0  abc675ef47e07b7f  c2cb14c20f7a22f1
     44     1.8802e+08       34078720        1203698  abc675ef47e07b7f  e32e62722cfb2564
     45          47776           3840            301  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 6
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.43437e+07       23720714         569154  0000000000000000  0000000000000000
      5             67              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          18443           5974             49  26eabfaf49b46807  133f55f2648fecce
      7          43507          12844            397  26eabfaf49b46807  53360b0d29e60035
      8          21226           5376             77  26eabfaf49b46807  82574bb65160613d
      9             70              8              0  26eabfaf49b46807  8e5e435081afd6fb
     10            635             12              5  26eabfaf49b46807  a5b9dd26ead2f771
     11            233             18              1  26eabfaf49b46807  dc68f269af97a825
     13            246             18              0  714078e5b39a254e  fa0805800a5489a2
     14          44941           3200            632  9b6b67663caff197  01bcfdb46338199f
     15          47641           2560            679  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200            106  9b6b67663caff197  1b21b53707c358f6
     17          41605           2560            679  9b6b67663caff197  22bb6da8a0416390
     18            119             14              0  9b6b67663caff197  6862616b2eb03d7a
     19             68              4              0  9b6b67663caff197  754f937a72a32e15
     20            248              9              2  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          16242           6299            124  9b6b67663caff197  ea58e854dec6c4c0
     23           1031             27             14  9b6b67663caff197  f11ba1ac3c6de015
     24    1.22028e+08       43253760        1639722  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             79  9b6b67663caff197  fa8ea32b53831861
     26            140              8              0  a56d04c363e13700  098c78d9fa04e08a
     27          26843           8906            385  a56d04c363e13700  1776424a4a9e8336
     28          10590           4662              4  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30             55              4              0  a56d04c363e13700  3b6df67f33774bd2
     31           2745           1568             51  a56d04c363e13700  60c4d4d4e0412413
     32          24113           6136            393  a56d04c363e13700  6689142888329f8c
     33          10796           5147            163  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            551             15             12  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             69  abc675ef47e07b7f  174779975e86f455
     37            767             27             10  abc675ef47e07b7f  1992fcee9a199399
     38            113              7              5  abc675ef47e07b7f  87e7f12c017876ea
     39          11577           6134             87  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              0  abc675ef47e07b7f  adc0e7a2a634810f
     41             45              4              3  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             38  abc675ef47e07b7f  be993a2c079f97e1
     43            149              9              2  abc675ef47e07b7f  c2cb14c20f7a22f1
     44     1.8875e+08       34078720        1317283  abc675ef47e07b7f  e32e62722cfb2564
     45          49937           3840            382  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 7
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.51443e+07       24132552         400063  0000000000000000  0000000000000000
      5             60              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          17867           6805             55  26eabfaf49b46807  133f55f2648fecce
      7          43630          12844            428  26eabfaf49b46807  53360b0d29e60035
      8          21053           5376             93  26eabfaf49b46807  82574bb65160613d
      9             67              8              1  26eabfaf49b46807  8e5e435081afd6fb
     10            652             12              3  26eabfaf49b46807  a5b9dd26ead2f771
     11            240             18              3  26eabfaf49b46807  dc68f269af97a825
     14          35431           3200            153  9b6b67663caff197  01bcfdb46338199f
     15          30665           2560            154  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200             33  9b6b67663caff197  1b21b53707c358f6
     17          34873           2560            171  9b6b67663caff197  22bb6da8a0416390
     18            118             14              0  9b6b67663caff197  6862616b2eb03d7a
     19             55              4              1  9b6b67663caff197  754f937a72a32e15
     20            225              9              0  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          16351           6299             99  9b6b67663caff197  ea58e854dec6c4c0
     23            839             27             19  9b6b67663caff197  f11ba1ac3c6de015
     24    1.21982e+08       43253760         563612  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             54  9b6b67663caff197  fa8ea32b53831861
     26            195              8              1  a56d04c363e13700  098c78d9fa04e08a
     27          24234          10313            136  a56d04c363e13700  1776424a4a9e8336
     28          10833           4980              6  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30             94              4              1  a56d04c363e13700  3b6df67f33774bd2
     31           2779           1568             22  a56d04c363e13700  60c4d4d4e0412413
     32          25030           6136            207  a56d04c363e13700  6689142888329f8c
     33          10773           5147             88  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            284             15              2  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             49  abc675ef47e07b7f  174779975e86f455
     37            758             27              7  abc675ef47e07b7f  1992fcee9a199399
     38            167              7              2  abc675ef47e07b7f  87e7f12c017876ea
     39          11454           6134             66  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              3  abc675ef47e07b7f  adc0e7a2a634810f
     41             93              4              2  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             53  abc675ef47e07b7f  be993a2c079f97e1
     43            114              9              1  abc675ef47e07b7f  c2cb14c20f7a22f1
     44    1.88036e+08       34078720        1384714  abc675ef47e07b7f  e32e62722cfb2564
     45          47821           3840            416  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 8
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.44571e+07       23806185         538100  0000000000000000  0000000000000000
