============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     69            148             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 6
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.05452e+06        2450342          24019  0000000000000000  0000000000000000
     59          89989          72310            942  b37b183445c96596  011d2a5e7b19a5ee
     60         180697          86772           1020  b37b183445c96596  0abcee64fc570d70
     61         704001         196479           2169  b37b183445c96596  0b8b4f34aabd7eb0
     62            808             27              4  b37b183445c96596  24b1019ffde88caa
     63    1.18187e+07        2368506          47299  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            605  b37b183445c96596  4c887614dd02f590
     66            285              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58732          57848            514  b37b183445c96596  675726f7a60715aa
     68          16043           6195            100  b37b183445c96596  a5a6044a4c07d484
     69            148             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 7
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.69252e+06        1416824          12280  0000000000000000  0000000000000000
     59          90569          72310            834  b37b183445c96596  011d2a5e7b19a5ee
     60         182273          86772            868  b37b183445c96596  0abcee64fc570d70
     61         703150         198081           1829  b37b183445c96596  0b8b4f34aabd7eb0
     62            815             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.41815e+07        2841426          48267  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            510  b37b183445c96596  4c887614dd02f590
     66            292              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58964          57848            456  b37b183445c96596  675726f7a60715aa
     68          16236           6195            171  b37b183445c96596  a5a6044a4c07d484
     69            148             10              1  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 8
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.06075e+06        2451190          12689  0000000000000000  0000000000000000
     59          90052          72310            985  b37b183445c96596  011d2a5e7b19a5ee
     60         181078          86772           1016  b37b183445c96596  0abcee64fc570d70
     61         702865         196479           2154  b37b183445c96596  0b8b4f34aabd7eb0
     62            836             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.18214e+07        2368506          46782  b37b183445c96596  2e930d38ea32691b
     64             76              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            608  b37b183445c96596  4c887614dd02f590
     66            293              9              4  b37b183445c96596  5a64f7ba7a51f79f
     67          58684          57848            473  b37b183445c96596  675726f7a60715aa
     68          16152           6195             50  b37b183445c96596  a5a6044a4c07d484
     69            148             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 9
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.75552e+06        1446370          12445  0000000000000000  0000000000000000
     59          90608          72310            808  b37b183445c96596  011d2a5e7b19a5ee
     60         181813          86772            850  b37b183445c96596  0abcee64fc570d70
     61         701220         198081           1820  b37b183445c96596  0b8b4f34aabd7eb0
     62            802             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.41191e+07        2841426          48121  b37b183445c96596  2e930d38ea32691b
     64             48              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            520  b37b183445c96596  4c887614dd02f590
     66            294              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58666          57848            454  b37b183445c96596  675726f7a60715aa
     68          16235           6195            167  b37b183445c96596  a5a6044a4c07d484
     69            148             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 10
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.10443e+06        2473670          24320  0000000000000000  0000000000000000
     59          89948          72310           1005  b37b183445c96596  011d2a5e7b19a5ee
     60         184815          86772           1055  b37b183445c96596  0abcee64fc570d70
